StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1_1,Q3.1_2,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q8.1_1,Q8.1_2,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q10.3,Q11.1_1,Q11.2,Q11.3,Q11.3_5_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible",The studies using preexisting observational data that I am involved in... - Are preregistered,"The studies using preexisting observational data that I am involved in... - Blind the data analyst (e.g., by masking labels for categorical variables of interest)",The studies using preexisting observational data that I am involved in... - Share analysis scripts in an openly accessible repository,The studies using preexisting observational data that I am involved in... - Contain confirmatory analyses,The studies using preexisting observational data that I am involved in... - Contain exploratory analyses,"Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC required that I use an ECAW, I would be less willing to use their data in my research","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC ran a study on ECAWs, I would opt-in.",Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - ALSPAC should run a study on ECAWs.,Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - I would prefer using an ECAW than using typical preregistration,May the research team contact you about potential focus groups related to the themes of this survey.,"Compared to what you think of as a typical researcher who uses preexisting observational data in your field, how concerned are you with research trustworthiness, bias, rigour, and reproducibility.","Approximately how many studies have you published using a preexisting observational dataset (e.g., the ALSPAC dataset)?",What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Selected Choice,What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Other (please describe) - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}"
2022-10-10 12:17,2022-10-10 12:20,IP Address,100,170,TRUE,2022-10-10 12:20,R_BGk3PU03K0bBdMB,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,Most of the time,Never or almost never,About half the time,Most of the time,Sometimes,About the same,About the same,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,more concerned,5,R,
2022-10-10 12:20,2022-10-10 12:25,IP Address,100,286,TRUE,2022-10-10 12:25,R_3fisqbWEBZPracm,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,About half the time,Most of the time,Always or almost always,About half the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No,more concerned,12,"Stata,R",
2022-10-10 12:23,2022-10-10 12:26,IP Address,100,166,TRUE,2022-10-10 12:26,R_2EtryvOsbZ0rxxH,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Much more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,as concerned as a typical researcher in my field,8,R,
2022-10-10 12:19,2022-10-10 12:27,IP Address,100,493,TRUE,2022-10-10 12:27,R_Ap5HSxdDcFOYoPD,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Sometimes,Never or almost never,Sometimes,Sometimes,Sometimes,Somewhat more,Much more,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,as concerned as a typical researcher in my field,1,"R,Other (please describe)","SPSS, MATLAB"
2022-10-10 12:31,2022-10-10 12:33,IP Address,100,116,TRUE,2022-10-10 12:33,R_2Bmn9ite97fNcV6,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Sometimes,About half the time,About half the time,Most of the time,Much more,Much more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,as concerned as a typical researcher in my field,0,R,
2022-10-10 12:37,2022-10-10 12:39,IP Address,100,160,TRUE,2022-10-10 12:39,R_1lzxHTRp9DeYxh0,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,About half the time,About half the time,Always or almost always,Somewhat more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,more concerned,50,"Stata,R",
2022-10-10 12:23,2022-10-10 12:46,IP Address,100,1383,TRUE,2022-10-10 12:46,R_2BbULZm8ogXeJlS,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Always or almost always,About half the time,About half the time,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,20,"Stata,R",
2022-10-10 12:40,2022-10-10 12:52,IP Address,100,698,TRUE,2022-10-10 12:52,R_2v8mlnwwirg6hVB,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Most of the time,Most of the time,Somewhat more,About the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,somewhat more concerned,35,Stata,
