StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1_1,Q3.1_2,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q8.1_1,Q8.1_2,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.2,Q10.1,Q10.2,Q10.3,Q11.1_1,Q11.2,Q11.3,Q11.3_5_TEXT,Q11.4
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Typically, studies that analyze preexisting observational datasets (such as the ALSPAC dataset) are:

Trustworthy—meaning that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible",The studies using preexisting observational data that I am involved in... - Are preregistered,"The studies using preexisting observational data that I am involved in... - Blind the data analyst (e.g., by masking labels for categorical variables of interest)",The studies using preexisting observational data that I am involved in... - Share analysis scripts in an openly accessible repository,The studies using preexisting observational data that I am involved in... - Contain confirmatory analyses,The studies using preexisting observational data that I am involved in... - Contain exploratory analyses,"Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Trustworthy","Compared to a typical study using preexisting observational data, a study using an ECAW would be...

Trustworthy—meaning, that the results and conclusions of the publications are valid, reliable, rigorous, and accurate. That they merit trust.

Reproducible—in the sense that other researchers re-analysing the data with the same research question would produce similar results. - Reproducible","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC required that I use an ECAW, I would be less willing to use their data in my research","Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - If ALSPAC ran a study on ECAWs, I would opt-in.",Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - ALSPAC should run a study on ECAWs.,Thinking about a study you may run with ALSPAC data (or one that you have recently run)... - I would prefer using an ECAW than using typical preregistration,"Optional Question.
If you disagreed or are unsure about any of these four questions, please explain why here.","Optional Question.
Do you have any thoughts you would like to share regarding the benefits and drawbacks of an ECAW, or about how this workflow could be improved? Do you have any reservations about this workflow? Would you need additional incentives to use this workflow? What type of incentives would you want? Respond to as many or as few of these questions as you would like.","Optional Question.
Do you have any suggestions for other research practices or policies that data managent organisations could implement to improve the quality of work output from their dataset?",May the research team contact you about potential focus groups related to the themes of this survey.,"Compared to what you think of as a typical researcher who uses preexisting observational data in your field, how concerned are you with research trustworthiness, bias, rigour, and reproducibility.","Approximately how many studies have you published using a preexisting observational dataset (e.g., the ALSPAC dataset)?",What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Selected Choice,What programming language or software do you use for your analyses of preexisting observational data? (you may select multiple answers) - Other (please describe) - Text,"Optional Question.
If you have any additional comments regarding this survey, please enter them below."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID18_TEXT""}"
2022-07-18 02:19:43,2022-07-18 02:21:04,Survey Preview,100,81,True,2022-07-18 02:21:06,R_XNZKP5p8P0Wl6b7,preview,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-07-20 20:42:58,2022-07-20 20:43:55,Survey Preview,100,57,True,2022-07-20 20:43:57,R_28YSsLOVCn9lNya,preview,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-07-20 21:42:23,2022-07-20 21:42:46,IP Address,5,22,False,2022-08-03 21:42:48,R_qQw1blQbmBfUVW1,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-08-24 23:20:48,2022-08-24 23:26:46,Survey Preview,100,358,True,2022-08-24 23:26:47,R_w04670rG9gdcxhL,preview,EN-GB,,,,,,,,,,,,,,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,5000,"SAS,Other (please describe)",nooooooo,
2022-08-24 23:37:17,2022-08-24 23:38:14,IP Address,100,56,True,2022-08-24 23:38:14,R_2S99MGp2X52lPWu,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-08-25 00:00:12,2022-08-25 00:00:44,IP Address,100,32,True,2022-08-25 00:00:44,R_33antfWKvUJYLkN,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-08-29 19:02:10,2022-08-29 21:00:42,IP Address,6,7111,False,2022-09-12 21:00:44,R_3Jg5qVGaDDlZf0z,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 22:07:10,2022-09-13 22:07:51,Survey Preview,100,41,True,2022-09-13 22:07:52,R_eCAH1Xz5PWGFArf,preview,EN-GB,,,,,,,,,,,,,,,,,,,,,,
